Timestamp,trade-volume
2020-08-10 00:00:00,59683346.886
2020-08-11 00:00:00,218397180.6838
2020-08-12 00:00:00,249861736.7918
2020-08-13 00:00:00,141688775.6123
2020-08-14 00:00:00,161732026.4091
2020-08-15 00:00:00,131449767.039
2020-08-16 00:00:00,101333020.2792
2020-08-17 00:00:00,63773670.1483
2020-08-18 00:00:00,253521339.7144
2020-08-19 00:00:00,217771115.2187
2020-08-20 00:00:00,208815095.82
2020-08-21 00:00:00,96746302.15519999
2020-08-22 00:00:00,153928936.99199998
2020-08-23 00:00:00,85029155.46000001
2020-08-24 00:00:00,39027595.4028
2020-08-25 00:00:00,75749356.9416
2020-08-26 00:00:00,168869325.88599998
2020-08-27 00:00:00,104337127.35570002
2020-08-28 00:00:00,152064701.8666
2020-08-29 00:00:00,125753228.67
2020-08-30 00:00:00,48056174.58719999
2020-08-31 00:00:00,54121905.8394
2020-09-01 00:00:00,102290923.35409999
2020-09-02 00:00:00,176627448.525
2020-09-03 00:00:00,265432700.672
2020-09-04 00:00:00,361418115.39089996
2020-09-05 00:00:00,310980390.15669996
2020-09-06 00:00:00,222072428.23080003
2020-09-07 00:00:00,89153592.5889
2020-09-08 00:00:00,153205856.4958
2020-09-09 00:00:00,194156867.12160003
2020-09-10 00:00:00,113383268.7008
2020-09-11 00:00:00,147055601.2892
2020-09-12 00:00:00,101653161.4472
2020-09-13 00:00:00,57857607.940000005
2020-09-14 00:00:00,81937985.7165
2020-09-15 00:00:00,143525658.62719998
2020-09-16 00:00:00,135273030.3276
2020-09-17 00:00:00,154480376.5826
2020-09-18 00:00:00,117116914.34619999
2020-09-19 00:00:00,88269394.26240002
2020-09-20 00:00:00,54811966.3947
2020-09-21 00:00:00,69233310.9125
2020-09-22 00:00:00,193630537.917
2020-09-23 00:00:00,99403513.6488
2020-09-24 00:00:00,124490884.2376
2020-09-25 00:00:00,124807106.4971
2020-09-26 00:00:00,129716552.8944
2020-09-27 00:00:00,48519033.92
2020-09-28 00:00:00,50063044.872
2020-09-29 00:00:00,109557462.41880001
2020-09-30 00:00:00,89865245.23200001
2020-10-01 00:00:00,89894642.8896
2020-10-02 00:00:00,183013787.4308
2020-10-03 00:00:00,150343724.50919998
2020-10-04 00:00:00,31477196.1224
2020-10-05 00:00:00,31512003.100199997
2020-10-06 00:00:00,78412225.0504
2020-10-07 00:00:00,103826838.3222
2020-10-08 00:00:00,102699834.10399999
2020-10-09 00:00:00,142856446.66199997
2020-10-10 00:00:00,120551930.57730001
2020-10-11 00:00:00,97927463.147
